ELEMENT,MOL,RESIDUE_NUM,X,Y,Z
MW,HOH,101,17.28360176802564,5.194908503657527,14.026861115596967
OW,HOH,102,5.92487,14.57987,14.57987
HW1,HOH,102,5.955407852594657,13.976363738478167,13.837526273776865
HW2,HOH,102,6.650210512373853,14.306454130957896,15.141432091371193
MW,HOH,102,6.021631550388443,14.467613387222311,14.556727769608527
OW,HOH,103,5.32179,13.97679,17.2212
HW1,HOH,103,5.8072012992547055,13.68576644103064,16.449251333325417
HW2,HOH,103,5.599811146417844,14.883360941210935,17.351827266665218
MW,HOH,103,5.419518563858544,14.055587491506088,17.13910312325611
OW,HOH,104,5.26439,17.20344,13.95962
HW1,HOH,104,4.8713130671041265,16.58752096883771,13.341259966381012
HW2,HOH,104,4.5180769018106846,17.63129234191484,14.379377960721472
MW,HOH,104,5.11853432928037,17.17936519475172,13.934196538535106
OW,HOH,105,2.73013,2.73013,5.92487
HW1,HOH,105,2.9946939567861204,3.520395120084172,5.453991276496781
HW2,HOH,105,3.5493876406568408,2.3630958103055697,6.257025594293911
MW,HOH,105,2.868872240780272,2.7843086653710616,5.907111765766655
OW,HOH,106,0.0888,3.33321,5.32179
HW1,HOH,106,0.6640591334976523,3.378719499576934,6.085496202525413
HW2,HOH,106,-0.4151193578737301,2.5293092902044774,5.448478187493478
MW,HOH,106,0.09793235199425479,3.2361267751020693,5.4357712245307335
OW,HOH,107,3.39061,0.10656,5.30462
HW1,HOH,107,4.247527175548668,0.2243339659739395,5.714560339791614
HW2,HOH,107,3.494430777644615,-0.6660727414577567,4.749206465544151
MW,HOH,107,3.5135960493121456,0.02273017586694541,5.2859976759488845
OW,HOH,108,2.73013,14.57987,11.38513
HW1,HOH,108,2.8767348940746342,15.121036463092395,10.609328408446183
HW2,HOH,108,1.7845222594199126,14.617493415424786,11.528786909220528
MW,HOH,108,2.6278479956779583,14.653962087550083,11.304207853835747
OW,HOH,109,0.0888,13.97679,11.98821
HW1,HOH,109,-0.20043144137915359,13.30881507700636,12.609813823966181
HW2,HOH,109,0.7205481419940434,13.525860823172927,11.428038915711344
MW,HOH,109,0.13264627014269775,13.833556775644984,11.996074131864729
OW,HOH,110,3.39061,17.20344,12.00537
HW1,HOH,110,4.177868884203302,16.990269571579333,11.504356171558184
